_id,ICO,URI,Nazov,Dátum poslednej aktualizácie: 30.6.2019
359,691429,ico://sk/00691429,Obec Dvorníky-Včeláre,
360,48485357,ico://sk/48485357_00580,"Správca - SPHYRNA Insolvency, k.s.",
361,36130931,ico://sk/36130931,"JUDr. Mária Zimanová, notár",
362,30814502,ico://sk/30814502,Slovenský metrologický inšpektorát,
363,586960,ico://sk/00586960,Ústav biochémie a genetiky živočíchov SAV,
364,325295,ico://sk/00325295,Obec Kaluža,
365,37812891,ico://sk/37812891,"Základná škola Lichardova 24, Žilina",
366,322865,ico://sk/00322865,Obec Čabalovce,
367,151866,ico://sk/00151866_10230,Okresný úrad Púchov,
368,328812,ico://sk/00328812,Obec Sirk,
369,314111,ico://sk/00314111,Obec Lopušné Pažite,
370,36120901,ico://sk/36120901,"Vysoká škola manažmentu,Trenčín",
371,316806,ico://sk/00316806,Obec Mošovce,
372,17078466,ico://sk/17078466,"Stredná umelecká škola, Vodárenská 3, Prešov",
373,42361192,ico://sk/42361192,"JUDr. Ivan Lošonský, notár",
374,398411,ico://sk/00398411,"Stredná odborná škola agrotechnická, Tovarnícka 1632, Topoľčany",
375,151866,ico://sk/00151866_11024,Okresné riaditeľstvo Policajného zboru v Spišskej Novej Vsi,
376,48485357,ico://sk/48485357_00510,"Správca - Figura Marek, Mgr. Bc.",
377,36081086,ico://sk/36081086,Základná škola Smetanov háj Dunajská Streda,
378,324493,ico://sk/00324493,Obec Nižná Myšľa,
379,314412,ico://sk/00314412,Obec Breza,
380,42120411,ico://sk/42120411,Súkromná škola úžitkového výtvarníctva,
381,36106011,ico://sk/36106011,Základná škola Nábrežná Nové Zámky,
382,37833251,ico://sk/37833251,Základná škola s materskou školou - Alapiskola és Óvoda Radzovce,
383,397865,ico://sk/00397865,Univerzita Komenského v Bratislave,
384,46201297,ico://sk/46201297_10001,Služby obce Ľubica s.r.o.,
